url,type,status,saved_path
https://www.thapar.edu/admissions,html,text_extracted,output\html_text\admissions_deead266.txt
https://www.thapar.edu/upload/files/Climate_Action_Plan.pdf,pdf,downloaded,output\pdfs\Climate_Action_Plan_a99e700c.pdf
https://www.thapar.edu/upload/files/TIETService Regulations.pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/Specializations - TIET.pdf,pdf,downloaded,output\pdfs\Specializations_-_TIET_7af1ef0d.pdf
https://www.thapar.edu/upload/files/TSLAS Compensation Strcuture 2020.pdf,pdf,downloaded,output\pdfs\TSLAS_Compensation_Strcuture_2020_e0995127.pdf
https://www.thapar.edu/upload/files/Teaching - CED CSED EIED ECED MED Maths.pdf,pdf,downloaded,output\pdfs\Teaching_-_CED_CSED_EIED_ECED_MED_Maths_f8828aa8.pdf
https://www.thapar.edu/upload/files/Research - LMTSM SHSS.pdf,pdf,downloaded,output\pdfs\Research_-_LMTSM_SHSS_8c9f5cfd.pdf
https://www.thapar.edu/upload/files/GRC_26.pdf,pdf,downloaded,output\pdfs\GRC_26_80102d4f.pdf
https://www.thapar.edu/upload/files/Teaching - LMTSM SHSS.pdf,pdf,downloaded,output\pdfs\Teaching_-_LMTSM_SHSS_63305214.pdf
https://www.thapar.edu/upload/files/Industry - CED CSED EIED ECED MED Maths.pdf,pdf,downloaded,output\pdfs\Industry_-_CED_CSED_EIED_ECED_MED_Maths_aa6c961c.pdf
https://www.thapar.edu/upload/files/Resaech - BTD SCBC SEE SPMS.pdf,pdf,downloaded,output\pdfs\Resaech_-_BTD_SCBC_SEE_SPMS_bb85aae1.pdf
https://www.thapar.edu/upload/files/CEEMS INAUGURAL NEWSLETTER.pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/Accessibility Tools for Divyangjan.pdf,pdf,downloaded,output\pdfs\Accessibility_Tools_for_Divyangjan_a03aad01.pdf
https://www.thapar.edu/upload/files/Faculty TIET & LMTSM Recruitment Policy.pdf,pdf,downloaded,output\pdfs\Faculty_TIET___LMTSM_Recruitment_Policy_34fb3f32.pdf
https://www.thapar.edu/upload/files/Newsletter Vol V April 2026.pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/Industry - BTD SCBC SEE SPMS.pdf,pdf,downloaded,output\pdfs\Industry_-_BTD_SCBC_SEE_SPMS_96ce9d4d.pdf
https://www.thapar.edu/upload/files/nationalraggingprevention.pdf,pdf,downloaded,output\pdfs\nationalraggingprevention_d7e9cea9.pdf
https://www.thapar.edu/upload/files/Industry - LMTSM SHSS.pdf,pdf,downloaded,output\pdfs\Industry_-_LMTSM_SHSS_5c21249f.pdf
https://www.thapar.edu/upload/files/ABET final statement_2.pdf,pdf,downloaded,output\pdfs\ABET_final_statement_2_a9da596b.pdf
https://www.thapar.edu/upload/files/Teching - BTD SCBC SEE SPMS.pdf,pdf,downloaded,output\pdfs\Teching_-_BTD_SCBC_SEE_SPMS_ed598cae.pdf
https://www.thapar.edu/upload/files/Ceems Newsletter III .pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/Privacy PolicyTIET.pdf,pdf,downloaded,output\pdfs\Privacy_PolicyTIET_5161daf9.pdf
https://www.thapar.edu/upload/files/Research - CED CSED EIED ECED MED Maths.pdf,pdf,downloaded,output\pdfs\Research_-_CED_CSED_EIED_ECED_MED_Maths_6b3fa20f.pdf
https://www.thapar.edu/upload/files/Holiday List.pdf,pdf,downloaded,output\pdfs\Holiday_List_993f484e.pdf
https://www.thapar.edu/upload/files/CEEMS Summary2019-2024.pdf,pdf,downloaded,output\pdfs\CEEMS_Summary2019-2024_3759b388.pdf
https://www.thapar.edu/upload/files/TIET-IPR Policy Ver.2 - Aug 2021.pdf,pdf,downloaded,output\pdfs\TIET-IPR_Policy_Ver.2_-_Aug_2021_0fece00b.pdf
https://www.thapar.edu/upload/files/Ceems Newsletter II .pdf,pdf,skipped_too_large,
https://www.thapar.edu/upload/files/Newsletter Vol IV.pdf,pdf,skipped_too_large,
https://www.thapar.edu/images/pdf/AcademicRegulations.pdf,pdf,downloaded,output\pdfs\AcademicRegulations_df5965c7.pdf
https://admission.thapar.edu/,html,text_extracted,output\html_text\index_e415a88e.txt
https://static.npfs.co/accounts/664/documents/2026/4/27/bc88d64fa6e940f0b15261aa42b0d9ca_Prospectus TPC 2026-27.pdf,pdf,downloaded,output\pdfs\bc88d64fa6e940f0b15261aa42b0d9ca_Prospectus_TPC_2026-27_e8aa2676.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/5277540ef8b1479c96f67acc7650a8de_01 ABBREVIATIONS USED.pdf,pdf,downloaded,output\pdfs\5277540ef8b1479c96f67acc7650a8de_01_ABBREVIATIONS_USED_66dfb845.pdf
https://static.npfs.co/accounts/664/documents/2026/5/13/a36f869348bd4ad885bc24ee76a010f3_Notice regarding the counselling for admission to BEBTech programme.pdf,pdf,downloaded,output\pdfs\a36f869348bd4ad885bc24ee76a010f3_Notice_regarding_the_counselling_for_admission_to_BEBTech_programme_7a29f9ad.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/791b83558d6c412cb807b90e502a30dd_22 BRIEF INFORMATION ABOUT B TECH BIOTECH PROGRAMME.pdf,pdf,downloaded,output\pdfs\791b83558d6c412cb807b90e502a30dd_22_BRIEF_INFORMATION_ABOUT_B_TECH_BIOTECH_PROGRAMME_948df051.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/268fd64d1efb4435a63df702d7e10cb9_19 BRIEF INFORMATION ABOUT BE (CIVIL ENGINEERING).pdf,pdf,downloaded,output\pdfs\268fd64d1efb4435a63df702d7e10cb9_19_BRIEF_INFORMATION_ABOUT_BE__CIVIL_ENGINEERING__60cc8502.pdf
https://static.npfs.co/accounts/664/documents/2026/1/24/e794c4c21cc64c05812018f50f868291_15 FEATURES OF UG-PG PROGRAMS.pdf,pdf,downloaded,output\pdfs\e794c4c21cc64c05812018f50f868291_15_FEATURES_OF_UG-PG_PROGRAMS_53575322.pdf
https://static.npfs.co/accounts/664/documents/2026/6/30/525f260cee2743f494097c32c123f3c0_29 FORMATS OF CERTIFICATES.pdf,pdf,downloaded,output\pdfs\525f260cee2743f494097c32c123f3c0_29_FORMATS_OF_CERTIFICATES_8ff97e41.pdf
https://static.npfs.co/accounts/664/documents/2026/6/12/3fe5e02ed4da43ada235fe0553d33453_WITHDRAWAL FORM DIPLOMA.pdf,pdf,downloaded,output\pdfs\3fe5e02ed4da43ada235fe0553d33453_WITHDRAWAL_FORM_DIPLOMA_c5a97525.pdf
