filename,status,page_count,total_chars,avg_chars_per_page,preview,error
10e8487afed645f0b6812b7159416fbd_Payment_Mode_Details_7eb1ee7d.pdf,ok,1,738,738.0,"Payment Mode Details Candidates who have been offered admission in a programme at TIET, can make the fee payment using any one of the following modes. i. Online using your Debit Card/Credit Card/Net B",
182582839d6248b78040babe4ab7e3e7_23_NAVA_NALANDA_CENTRAL_LIBRARY_a8f7f8a7.pdf,ok,3,6431,2143.7,"Nava Nalanda Central Library (https://cl.thapar.edu) The Library Building and Infrastructure Nava Nalanda Central Library is an iconic, internationally acclaimed structure in the heart of the Thapar I",
190396079a034243b7aafab0f14d98e1_06_ADMISSION_TO_FIRST_YEAR_UG_PROGRAM_26c351e1.pdf,ok,16,34497,2156.1,1. ADMISSION TO THE FIRST YEAR OF BE/BTech PROGRAM (2026-27) 1.1. BE/BTech programmes and Number of Seats TIET offers BE/BTech programs in the following disciplines. Table – I: Branch wise distributio,
24943a9fc0174c0691e3a7c98def5572_Diploma_Counselling_-_I_Schedule_02a9c095.pdf,ok,3,4609,1536.3,"THAPAR POLYTECHNIC COLLEGE, PATIALA (A Constituent Unit of Thapar Institute of Engineering & Technology, Patiala) First Round of Counselling and Document Verification for Admission to Diploma Programm",
268fd64d1efb4435a63df702d7e10cb9_19_BRIEF_INFORMATION_ABOUT_BE__CIVIL_ENGINEERING__60cc8502.pdf,ok,1,2729,2729.0,B.E. CIVIL EINGINEERING The infrastructure sector in India is expected to grow at 7% annually with an investment of Rs 102 Lakh Crore by 2024-25. This massive investment offers significant employment ,
288fba1ba3c14f60a7108aa93868a969_Diploma_Counselling_-_II_Schedule_a1fa8968.pdf,ok,2,4735,2367.5,"Notice regarding Second round of counselling for admission to vacant seats in Diploma programmes Dated: 27 June, 2026 The second round of counselling for admission to vacant seats of the diploma progr",
3106a6d3903c43ceb31dfee1cd64e6c5_09_20ADMISSION_20TO_20MCA_20PROGRAM_20421a75.pdf,ok,2,3298,1649.0,4. MCA PROGRAMME (2-years duration) (2026-27) 4.1 ELIGIBILITY: Bachelor degree of minimum 3-years duration in any discipline from a recognised University with at least 60% marks (55% for SC/ST) in agg,
32ab1586afd1450c8d7a6f79fdbaa69f_24_PRIZES_AND_MEDALS_924bdbf9.pdf,ok,2,5222,2611.0,PRIZES AND MEDALS 1. MEDALS AWARDED AT THE ANNUAL CONVOCATION 1.1. The President's Medal is awarded to a student who tops the list of successful candidates in all the disciplines of final year B.E./B.,
35e9cdca941541669de3af535d968abe_08_20ADMISSION_20TO_20ME-MTECH_20PROGRAMS_f4cfe9ce.pdf,ok,5,12747,2549.4,3 ADMISSION TO M.E./M.Tech. PROGRAMME (2026-27) Mode of Program: Regular/Flexible 3.1 ELIGIBILITY FOR ADMISSION Admission to all the M.E./M.Tech. programmes shall be made on the basis of valid GATE Sc,
3fe5e02ed4da43ada235fe0553d33453_WITHDRAWAL_FORM_DIPLOMA_c5a97525.pdf,ok,2,2397,1198.5,"APPLICATION FOR REFUND OF FEE (WITHDRAW OF SEAT) SESSION 2026-27 To, The Principal, Thapar Polytechnic College, Patiala Sir, I want to withdraw my admission. Please allow me to withdraw my admission a",
